original_index,kualifikasi
2905,"Menguasai Program Management Information System (PMIS), Oracle Unifier, Oracle Primavera systems architecture, Oracle database technologies, serta mampu mengkonfigurasi proses bisnis dan aliran kerja, bertanggung jawab atas pengembangan dan pemeliharaan sistem PMIS, dan berpengalaman dalam mengelola proyek dan program dengan nilai total $7.1B dan 700 unit proyek, NULL"
2906,"Program Manager untuk Konseling Sekolah ini bertanggung jawab mengembangkan dan melaksanakan program konseling komprehensif untuk Seattle Schools, termasuk pengembangan kurikulum, perencanaan individu, layanan responsif, dan dukungan sistem pada tingkat sekunder. Mereka harus mampu menguasai program manajemen, pengembangan kurikulum, pelatihan dan pengembangan profesional, analisis data, serta pengelolaan perangkat lunak (seperti Naviance). Mereka juga harus berpengalaman dalam mengelola tim konseling distrik, mengembangkan pelatihan profesional untuk konselor sekolah, serta mengelola perangkat lunak dan alat konselor sekolah."
2907,"Menguasai program manajemen, strategi pemasaran, analisis data, perencanaan pengembangan profesional, keahlian konten pendidikan, kemampuan teknologi, perencanaan strategis, manajemen proyek, dan keuangan, serta berpengalaman dalam bidang pendidikan dengan lama pengalaman tidak tercantum, bertanggung jawab untuk mendukung implementasi dan ekspansi AHE secara nasional dengan mengembangkan dan melaksanakan program-program yang berkualitas."
2908,"Sebagai Program Manager, Maintenance Excellence, Global Data Centers, saya harus menguasai Program Management, Project Lifecycle Management, Risk Identification, Communication, Data Center Maintenance, Enterprise Asset Management (EAM), Computerized Maintenance Management System (CMMS), dan Pre. Saya berpengalaman dalam mengelola proyek kompleks, mampu mengidentifikasi risiko, dan bertanggung jawab dalam mengkomunikasikan tujuan proyek kepada stakeholders. Saya juga harus mampu mengelola jadwal proyek, mengidentifikasi risiko, dan mengkomunikasikan tujuan proyek kepada stakeholders. Saya bertanggung jawab dalam mengelola nearly setiap aspek perawatan data center global kami."
2909,"Menguasai program manajemen, strategi, dan pemecahan masalah, serta memiliki pengetahuan tentang platform belajar dan kemampuan dalam Microsoft Office, dengan pengalaman minimal 3 tahun dalam bidang yang relevan dan bertanggung jawab untuk mengkoordinasikan dan melaksanakan pelatihan OpCo yang saat ini dan di masa depan."
2910,"Menguasai program manajemen, supervisi, pengelolaan anggaran, administrasi hibah, analisis data, pengelolaan dokumen, pengawasan komplian, implementasi teknologi, dan penghasilan laporan, dengan pengalaman minimal NULL dalam bidang pengelolaan program, bertanggung jawab untuk mengelola program Housing Choice Voucher (HCV) dan Family Self Sufficiency, serta mampu melaksanakan tugas-tugas lainnya seperti menggantikan direktur dan asisten direktur departemen."
2911,"Menguasai Program Management, Technical Training Content Development, Curriculum Development, Learning Management Systems (LMS), Google Products, Web Authoring, User Account Administration, SQL Databases, Data dengan pengalaman 0 tahun di bidang IT dan bertanggung jawab untuk mengelola proyek kompleks, mengembangkan konten pelatihan teknis, mengembangkan kurikulum, mengelola sistem manajemen belajar, dan mengkomunikasikan tujuan proyek kepada stakeholders."
2912,"Menguasai program planning, data analysis, vendor management, pengembangan program kesehatan dan wellness, serta manajemen kesehatan, dengan pengalaman minimal NULL dalam bidang yang sama dan bertanggung jawab untuk mengembangkan dan melaksanakan program kebijakan kesehatan dan kebugaran untuk meningkatkan kesejahteraan dan kebahagiaan karyawan global di lebih dari 60 kantor di seluruh dunia."
2913,"Menguasai program planning, pengembangan jadwal master terintegrasi, manajemen nilai yang diperoleh, penggunaan MS Project 2013/2016, manajemen sumber daya, audit internal dan eksternal, serta penggunaan MS Project Server dengan baik, serta berpengalaman dalam pengelolaan sumber daya, bertanggung jawab atas pengembangan jadwal dan proyek, serta mampu melakukan analisis dan evaluasi untuk menentukan kebutuhan dan sumber daya yang diperlukan."
2914,"Menguasai program planning, staff recruitment and supervision, event planning, vendor management, marketing, registration management, data management, budgeting, dan memiliki sertifikasi First Aid dan CPR, serta berpengalaman dalam mengelola program-program komunitas, bertanggung jawab atas pengembangan, perencanaan, pengorganisasian, dan supervisi program rekreasi remaja yang berkualitas tinggi di tingkat distrik, termasuk program basket, tarian, kelas sebelum dan setelah sekolah, kamp dan kelas musim panas, serta perencanaan acara untuk beberapa acara rekreasi komunitas kecil dan besar."
2915,"Menguasai program evaluasi dan pengembangan, mampu mengembangkan dan mengimplementasikan proses baru, serta berpengalaman dalam adjudikasi, pengolahan klaim, pengolahan pembayaran, pengalokasian manfaat, dan aktivitas INS, dengan pengalaman minimum NULL di bidang yang sama, bertanggung jawab untuk mengembangkan dan menyajikan modul pelatihan, webinar, dan seminar, serta memberikan bantuan teknis kepada staf IDES."
2916,"Menguasai program/event planning, mampu melakukan analisis data, serta memiliki kemampuan marketing yang baik, serta berpengalaman dalam menggunakan G Suite (Email, Calendar, Docs, Spreadsheets, Sites) dan bertanggung jawab untuk mengelola program-program dan acara-acara yang terkait dengan talent pipeline Google, serta tidak memiliki pengalaman kerja sebelumnya, terbuka untuk semua jenjang dan jurusan pendidikan."
2917,"Menguasai berbagai bahasa pemrograman seperti Python, Scala, dan Java, serta memiliki kemampuan dalam Web Development, Complex Event Processing, Design Patterns, Machine Learning Algorithms, Neural Networks, Natural Language Processing, Computer Vision, dan Object Recognition. Bertanggung jawab dalam mengembangkan dan mengimplementasikan solusi teknologi yang inovatif dan efektif."
2918,"Menguasai programming fundamentals, data structures, dan desain sistem, serta memiliki kemampuan dalam unit testing, version control, dan functional programming, serta menguasai REST dan cloud, dengan pengalaman kerja NULL dan pendidikan Sarjana (S1), bertanggung jawab untuk melaksanakan tugas-tugas sebagai Software Engineer - Full Stack."
2919,"Menguasai bahasa pemrograman Java, Scala, atau Python, serta mampu menulis SQL kompleks pada Hive, SparkSQL, dan Java Data Services untuk ekstraksi data, serta berpengalaman bekerja dengan pipa data real-time seperti Kafka, Kinesis, Spark streaming, Apache Flink, dan R, NULL, bertanggung jawab untuk mengembangkan dan mengelola sistem data yang efektif."
2920,"Menguasai berbagai bahasa pemrograman, manajemen database, pengembangan perangkat lunak, pengembangan web, infrastruktur IT, dan jaringan, serta berpengalaman dalam pengembangan ETL DataStage, bertanggung jawab untuk mengembangkan dan mengelola sistem data warehousing yang efektif dan efisien."
2921,"Menguasai bahasa pemrograman, scripting, dan arsitektur sistem, serta berpengalaman dalam pengembangan aplikasi selama 1 tahun, bertanggung jawab atas perancangan, pengembangan, modifikasi, adaptasi, dan implementasi solusi teknologi informasi yang memenuhi kebutuhan klien melalui aplikasi baru dan eksisting, arsitektur sistem, strategi sistem, layanan integrasi, dan infrastruktur aplikasi."
2922,"Seorang Enterprise Architect yang ideal harus menguasai prinsip-prinsip pemrograman dan pola, alat-alat standar pengembangan perangkat lunak, arsitektur server, standar keamanan, akses dan penggunaan database, proses pengembangan, manipulasi GUI, dan HTTP request. Mampu bekerja dalam bidang pengalaman yang tidak terbatas dalam lama dan jenisnya, seseorang ini bertanggung jawab untuk memberikan arahan teknis pada tim, mengembangkan desain dan arsitektur sistem, serta berperan sebagai pemimpin teknis dalam proyek pengembangan perangkat lunak dan konsultasi."
2923,"Menguasai kemampuan pemrograman yang baik, berpengalaman dalam pengembangan sistem operasi, arsitektur komputer, struktur data, analisis dan desain objek, serta desain dan arsitektur perangkat lunak, serta bertanggung jawab untuk mengembangkan produk perangkat lunak yang inovatif dan berkualitas tinggi dalam berbagai bidang, seperti pengembangan compiler, antarmuka pengguna aplikasi, visualisasi grafis, alat pengembangan, dan kerangka aplikasi."
2924,"Menguasai kemampuan dasar pemrograman, pengembangan perangkat lunak, pengetahuan sistem operasi, struktur data, analisis dan desain berorientasi objek, pemecahan masalah, serta pemahaman yang mendalam tentang komputer, serta mampu mengembangkan aplikasi dengan menggunakan bahasa pemrograman tingkat tinggi, dan bertanggung jawab untuk mengembangkan produk perangkat lunak dengan berbagai jenis proyek seperti kompiler, antarmuka pengguna aplikasi, grafik visualisasi, alat pengembangan, dan kerangka aplikasi."
2925,"Sebagai Developer Programs Engineer, Cloud Platform, saya harus menguasai berbagai bahasa pemrograman seperti Python, Java, Go, PHP, JavaScript (Node.js), C, Ruby, dan Objective-C, serta memiliki pengalaman minimal 1 tahun dalam bidang cloud computing dan full-stack development, serta bertanggung jawab untuk memberikan umpan balik pada desain API, konsistensi platform, dan fungsi, serta menulis kode contoh dan bekerja sama dengan tim penulisan teknis untuk membuat Google Cloud dan proyek open source terkait seperti Kubernetes, Beam, dan TensorFlow menjadi lebih baik bagi para pengembang."
2926,"Menguasai berbagai aspek teknis seperti pemrograman, arsitektur teknologi, aplikasi, informasi, dan perusahaan, serta memiliki kemampuan strategis dalam pengembangan solusi bisnis, bertanggung jawab dalam memberikan arahan arsitektur dan mengisi kekurangan teknis, serta mampu mengembangkan solusi bisnis yang efektif."
2927,"Menguasai berbagai teknologi pengembangan perangkat lunak seperti Java, mampu mengembangkan sistem dan aplikasi yang efektif, serta berpengalaman dalam analisis sistem dan konfigurasi, bertanggung jawab untuk mengelola sumber daya perusahaan dalam implementasi proyek-proyek yang berkelanjutan, serta memiliki kemampuan sebagai ahli materi dalam beberapa aplikasi, sistem, dan teknologi, serta mampu mengintegrasikan pengetahuan teknis dan bisnis untuk mengemban peran dan eksekusi proyek-proyek strategis."
2928,"Menguasai project coordination, budget management, contract management, deadline management, logistics coordination, content editing, graphic design coordination, expense monitoring, dan payment processing, serta berpengalaman dalam mengelola proyek-proyek yang kompleks dengan deadline yang ketat, bertanggung jawab untuk mengkoordinasikan tim proyek, mengelola anggaran, kontrak, dan logistik, serta mengedit konten dan mengkoordinasikan desain grafis, serta mengawasi pengeluaran dan melakukan pengolahan pembayaran, dengan pengalaman kerja minimal NULL dan pendidikan Sarjana (S1)."
2929,"Menguasai Project Coordination, Development, Business Analysis, Data & Analytics, Information Security, Computer Science, Software Engineering, Information Systems, MIS, dan Business Information Systems, dengan pengalaman yang tidak ada, bertanggung jawab untuk melaksanakan tugas utama pekerjaan sebagai Information Technology Associate Analyst di PepsiCo."
2930,"Menguasai project coordination, editing, koordinasi kegiatan penelitian, komunikasi lisan dan tulisan, penulisan artikel, proposal, memo, newsletter, dan laporan, serta pengelolaan kehadiran web dan acara, dengan pengalaman kerja minimal 1 tahun di bidang yang relevan, bertanggung jawab untuk melaksanakan berbagai kegiatan terkait penelitian dan pengembangan teknologi, seperti penelitian tentang kecerdasan buatan, sistem otonom, dan teknologi terkait lainnya, serta berpartisipasi dalam pengembangan proyek-proyek penelitian yang berfokus pada pengembangan masyarakat dan pendidikan."
2931,"Menguasai proses manajemen pengiriman proyek, desain dan dokumentasi, serta berkolaborasi dengan konsultan dan tim internal untuk memastikan standar tinggi dalam pengiriman hasil yang diharapkan CallisonRTKL, dengan pengalaman minimal 4-8 tahun di bidang retail dan core & shell, bertanggung jawab atas produksi dokumen konstruksi, memahami AutoCAD dan memiliki pengalaman menggunakan Revit."
2932,"Menguasai project engineering, estimating labor, dan menulis scope of work, serta berpengalaman dalam mengembangkan cost estimates dengan menggunakan Microsoft Office, serta mampu merancang dan mengembangkan solusi teknis, dengan latar belakang pendidikan S1 dan pengalaman kerja NULL, bertanggung jawab untuk melaksanakan tugas utama sebagai Estimator/Engineer Data Center, yaitu menyediakan dukungan engineering proyek yang lengkap, memilih bahan yang tepat, dan mengestimasi biaya pekerjaan, serta membantu tim penjualan dan proyek dalam kegiatan sehari-hari perusahaan."
2933,"Menguasai Project Management-CG-PES dan Medical Devices-QARA, berpengalaman selama 5-8 tahun dalam pengelolaan proyek, bertanggung jawab atas pengelolaan proyek dari awal hingga akhir, termasuk perencanaan, pengiriman, interaksi dengan klien, troubleshooting, pengelolaan parameter operasional proyek, dan manajemen tim."
2934,"Menguasai project management, mampu membaca dan menerjemahkan dokumen teknis, hukum, dan asuransi, serta memiliki kemampuan kuantitatif yang kuat, serta memiliki kemampuan menggunakan MS Excel, Word, dan PowerPoint dengan baik, dan bertanggung jawab untuk mengelola proyek, menerjemahkan dokumen, dan menganalisis data dengan efektif, serta berpengalaman dalam mengimplementasikan solusi asuransi yang inovatif dan efisien untuk mengoptimalkan biaya risiko jangka panjang perusahaan."
2935,"Menguasai Project Management, Analytical Capabilities, Data Collection and Analysis, Market Research, Product Development, Requirements Gathering, Relationship Management, dan Industry Trend Monitoring, serta tidak memiliki pengalaman kerja, bertanggung jawab untuk mengembangkan dan memantau produk data yang efektif dan efisien dengan memanfaatkan data dan analitik yang dikembangkan oleh perusahaan."
2936,"Menguasai project management, business analysis, dan requirements gathering, serta memiliki kemampuan dalam pengembangan bisnis dan perancangan solusi, seseorang yang berpengalaman dalam bidang IT dengan lama pengalaman tidak terdapat dan pendidikan terbuka untuk semua jenjang dan jurusan bertanggung jawab untuk melaksanakan proyek bisnis spesifik dengan mengembangkan rencana kerja untuk mencapai prioritas bisnis dan deadline, serta menentukan dan melaksanakan proses dan metodeologi yang efektif."
2937,"Menguasai Project Management, Business Analysis, Systems Analysis, Financial Reporting, Automation, Data Analysis, SQL, Microsoft Excel, Microsoft Access, Microsoft Project, SharePoint, dan Agile Methodologies dengan pengalaman tidak ada di bidang IT dan tidak ada pengalaman kerja, bertanggung jawab untuk merancang, mengembangkan, dan mengadministrasikan sistem informasi investasi yang kompleks, serta menganalisis, mengevaluasi, dan melaporkan proses investasi dan data keuangan terkait."
2938,"Menguasai project management, client relationship management, data warehousing, business intelligence, ETL (SSIS, Informatica, Data Stage), data modeling, SQL (DML / DDL), dan business intelligence reporting tools, serta bertanggung jawab dalam mengelola tim dan mengembangkan strategi bisnis yang efektif."
2939,"Menguasai project management, client services, dan creative development, serta mampu berpengalaman dalam web development dan software proficiency, seseorang yang tidak memiliki pengalaman kerja sebelumnya, dengan pendidikan terbuka untuk semua jenjang dan jurusan, bertanggung jawab untuk melaksanakan tugas utama sebagai Junior Producer Trainee, yaitu mengelola proyek dari awal hingga akhir, melayani klien, dan mengembangkan kreativitas dalam berbagai bidang, seperti cetak, digital, dan video."
2940,"Menguasai Project Management, CMS (Content Management System) Experience, APK Development, AWS, IoT, Artificial Intelligence, dan Microsoft Office Suite, serta berpengalaman dalam pengelolaan proyek yang luas, bertanggung jawab untuk mengelola proyek Samsung Retail Experience yang akan diimplementasikan di lebih dari 10.000 lokasi retail di seluruh Amerika Serikat."
2941,"Menguasai Project Management, Complex IT Services, ITIL, Microsoft Certification, Strategic Planning, dan Public Speaking, serta berpengalaman dalam mengelola layanan IT kompleks yang melibatkan beberapa disiplin teknis dan bisnis, bertanggung jawab untuk mengemban tugas sebagai Service Owner yang meliputi pengelolaan layanan IT dari siklus hidup penuh, termasuk desain, transisi, operasional, dan perbaikan terus-meneri, serta bertanggung jawab untuk memastikan bahwa pengiriman layanan IT yang berlangsung dan dukungan yang diberikan memenuhi persyaratan yang telah disepakati dengan klien."
2942,"Menguasai Project Management, Data Analysis, dan Proficiency in MS Office Suite, serta memiliki pengetahuan tentang SOP writing dan web-based technology, dengan pengalaman kerja yang tidak ada dan pendidikan terbuka untuk semua jenjang dan jurusan, bertanggung jawab untuk menyelesaikan tugas utama pekerjaan sebagai Specialist, Merck Educational Engagement, Technical Operations."
2943,"Menguasai Project Management, Data Analysis, SQL, Excel, Data Visualization, Scripting Languages, dan Data Infrastructure, serta berpengalaman dalam Distributed Computing, dengan pengalaman kerja yang tidak ada, bertanggung jawab untuk mengelola laporan terkait kebijakan Facebook."
2944,"Menguasai project management, data analytics, dan agile methodologies, serta berpengalaman dalam mengelola sumber daya, bertanggung jawab untuk mengarahkan tim data analytics dan science untuk mencapai tujuan proyek, termasuk mengembangkan produk data eksternal dan alat operasional internal untuk pelanggan korporasi."
2945,"Menguasai Project Management, Design Development, Architecture, Interior Design, Specialty Finishes, Furniture Design, Art dan Art History, serta memiliki kemampuan dalam menggunakan aplikasi Microsoft Word, Microsoft Excel, Microsoft PowerPoint, dan Adobe Creative, seseorang yang berpengalaman dalam bidang ini bertanggung jawab untuk mengorganisir dan melaksanakan desain toko retail untuk semua konsep, termasuk toko baru, perpindahan, desain fixture, franchise, shop-in-shop, renovasi, dan proyek khusus."
2946,"Menguasai project management, event planning, dan ITIL serta ITSM best practices, memiliki CTS certification, dan berpengalaman dalam pengelolaan digital signage solutions, IPTV systems, dan pengelolaan invoice selama 5 tahun di bidang IT Help/Support, bertanggung jawab atas koordinasi teknologi AV dan sumber daya untuk acara live di seluruh kampus HBS, termasuk 250 ruang kelas, ruang konferensi, auditorium, dan fasilitas lainnya yang tersebar di 35 gedung kampus."
2947,"Menguasai Project Management, Failure Mode Avoidance activities (DFMEA, quality history reviews, DFA/DFM reviews), System/Component Design Specification, Supplier Management, APQP (Advanced Product Quality Plan), dan memiliki kemampuan untuk mengelola tim dengan efektif, bertanggung jawab atas kemajuan proyek, dan mampu mengembangkan desain sistem/komponen yang berkualitas tinggi, dengan pengalaman kerja yang tidak tercatat dan pendidikan terbuka untuk semua jenjang dan jurusan."
2948,"Menguasai Project management, MDOT specifications, ProjectWise software, FieldManager software, dan file management, serta mampu membuat dan mengolah spreadsheet serta dokumen Word, serta memiliki pengetahuan dasar web, dengan pengalaman kerja NULL dalam bidang konstruksi dan administrasi, bertanggung jawab untuk mengelola tugas administratif pada proyek konstruksi MDOT dan federally funded, memastikan konformitas proyek dengan spesifikasi MDOT, proposal, dan plan sheets, serta mengkoordinasikan dengan staf lapangan untuk memastikan pelaporan konstruksi yang tepat waktu."
2949,"Menguasai Project Management, Microsoft Office (Word, Excel, Outlook, PowerPoint), dan Software Development Lifecycle (SDLC), dengan pengalaman tidak ada dalam bidang manapun, bertanggung jawab untuk melaksanakan tugas utama pekerjaan."
2950,"Menguasai project management, mampu melakukan quality assurance, dan memiliki PC proficiency dengan pengalaman 5 tahun di bidang yang relevan, bertanggung jawab untuk mengelola proyek kecil atau fase dari proyek besar."
2951,"Menguasai project management, relationship management, dan consultative advice, serta berpengalaman dalam vendor management dan network improvements, seseorang yang memiliki latar belakang sarjana (S1) dan pengalaman kerja NULL, bertanggung jawab untuk mengelola semua aspek proyek/program manajemen terkait implementasi proyek/program pelanggan eksternal yang ditugaskan, menyediakan titik kontak tunggal dan wajah AT&T bagi pelanggan selama implementasi, serta mengelola hubungan dengan pelanggan strategis AT&T selama siklus manajemen proyek/program."
2952,"Program Manager I yang diharapkan memiliki kemampuan menerapkan project management, risk assessment, process improvement, supply chain management, logistics operations, continuous improvement, program management, lean manufacturing, dan TPM (Total Productive Maintenance) untuk mengelola portfolio proyek strategis logistik yang kritis dengan potensi penyelamatan hingga $1M+ dan berpengalaman dalam mengembangkan dan melaksanakan inisiatif logistik untuk meningkatkan keselamatan, layanan, dan penghematan di jaringan Amerika Utara."
2953,"Menguasai Project Management, Strategic Planning, Leadership, Researching New Technologies, Big Data, Hadoop, Artificial Intelligence, Natural Language Processing, Machine Learning, Python, Java, Scala, R, SQL, serta memiliki kemampuan untuk mengintegrasikan teknologi-teknologi tersebut dalam pengembangan bisnis, dengan pengalaman minimal NULL dalam bidang IT dan bertanggung jawab untuk mengembangkan dan melaksanakan strategi bisnis yang efektif."
2954,"Menguasai project management, strategi planning, pengelolaan sumber daya, manajemen hubungan, penelitian, pengembangan proposal, Microsoft Office, dan menulis dengan baik, serta berpengalaman dalam bidang asuransi kelompok selama NULL tahun, bertanggung jawab untuk mempersiapkan dan mengelola respons RFP yang strategis untuk klien potensial dan saat ini Cigna melalui pengelolaan proyek dan sumber daya yang efektif."
2955,"Menguasai Project Management dan Time Management, serta memiliki kemampuan menggunakan Microsoft Office (terutama Excel) dan Microsoft Project, serta berpengalaman dalam menggunakan Online authoring tools, Web portals, dan Learning Management Systems, dengan pengalaman kerja yang tidak ada dan pendidikan terbuka untuk semua jenjang dan jurusan, bertanggung jawab untuk mengelola program kerja dari awal hingga akhir, termasuk mengumpulkan kebutuhan pelanggan, bekerja sama dengan tim produksi dan layanan pelanggan, serta berkomunikasi dengan pelanggan akhir."
2956,"Menguasai project management, training development, client support, dan regulatory knowledge, serta berpengalaman dalam team leadership, dengan pengalaman kerja tidak ada, dan pendidikan terbuka untuk semua jenjang dan jurusan."
2957,"Menguasai Project Management, Troubleshooting, Process Improvement, Documentation, Data Validation, SQL Report Creation, Source to Target Mapping, Data Analysis, serta komputer software yang relevan, dengan pengalaman minimal NULL dalam bidang IT, bertanggung jawab untuk melaksanakan tugas utama sebagai Business Systems Analyst I/II/III, yaitu sebagai liaison antara unit bisnis internal dan eksternal, serta bertanggung jawab untuk mengembangkan dan meningkatkan sistem bisnis perusahaan."
2958,"Menguasai project management, waterfall dan agile methodologies, serta pengalaman 2 tahun di bidang IT management, mampu mengkonfigurasi jaringan, mengkonseptualisasikan aliran bisnis, serta berpengalaman di lingkungan mainframe, distributed dan cloud environments, bertanggung jawab untuk melakukan evaluasi teknologi dan mengelola sistem IT."
2959,"Menguasai project-oriented network configuration, berpengalaman 3 tahun dalam bidang jaringan, bertanggung jawab untuk merancang dan mengimplementasikan infrastruktur data center enterprise dengan menggunakan praktek terbaik, serta mampu menangani perawatan dan pemeliharaan perangkat jaringan seperti router, switch, firewall, dan load balancer."
2960,"Menguasai perangkat multimedia seperti proyektor, kamera video, perekam audio, pemutar DVD/BluRay/VHS, layar LCD, laptop dan iPad Apple, serta aplikasi Adobe Creative Suite dan iLife, dengan pengalaman kerja tidak ada dan terbuka untuk semua jenjang dan jurusan pendidikan, bertanggung jawab untuk mengelola jadwal perawatan dan perbaikan peralatan AV, menciptakan dan memperbarui dokumentasi internal, serta membantu dalam pemeliharaan dan dukungan sistem perekaman kuliah dan auditorium Timken Hall."
2961,"Menguasai Proper English usage, spelling, grammar, dan punctuation, serta mampu melakukan basic statistics dan research methodology, serta memiliki pengetahuan modern office practices dan software, termasuk Microsoft Office Suite, tanpa pengalaman kerja, terbuka untuk semua jenjang dan jurusan pendidikan, bertanggung jawab dalam melakukan tugas administratif, paraprofesional, atau teknis, dengan bekerja sekitar 20-30 jam per minggu selama 3-6 bulan, dengan jam kerja fleksibel untuk menyesuaikan jadwal kuliah."
2962,"Menguasai prototyping tradisional ML dan AI frameworks, API integrasi, teknik optimasi canggih, teknik dan metode ML, pengembangan model, serta dukungan pelanggan, dengan pengalaman minimal 0 tahun, tidak terbatas pada bidang dan jenjang pendidikan, bertanggung jawab untuk mengembangkan dan menerapkan konsep ML dan DL abstrak ke dalam solusi nyata untuk perusahaan-perusahaan global terkemuka."
2963,"Menguasai Public/Private Cloud Expertise, High Availability, Disaster Recovery, Scalability, Security, Benchmarking, System Management, Third-Party Software Integration, Server Knowledge, dan Storage Knowledge, dengan pengalaman minimal NULL tahun di bidang IT, bertanggung jawab untuk mendefinisikan konfigurasi pengembangan teknis agar produk InterSystems memenuhi kebutuhan perusahaan besar, mendefinisikan prosedur dan praktik pengembangan aplikasi dan manajemen sistem, serta melakukan benchmarking dan tes untuk memastikan produk memenuhi tujuan skalabilitas dan ketersediaan tinggi."
2964,"Menguasai Purchasing, Inventory Control, Inventory Management, Supply Chain Management, Data Entry, Database Management, Inventory Analysis, Cost Negotiation, dan Vendor Management dengan pengalaman minimum NULL di bidang yang sama, bertanggung jawab untuk mengelola stok dan memaksimalkan putaran stok tanpa mengorbankan kesempatan penjualan, serta mengurangi kekurangan stok melalui analisis titik order rutin dan mereview garis produk secara berkala untuk memastikan komponen produk yang diperlukan tersedia."
2965,"Menguasai Python 3, Django, Django Rest Framework, Service-Oriented Architecture (SOA), Microservices, RESTful Services, Event-Driven Architecture, JavaScript, React.js, Redux, Flux Design Pattern, dan Functional Programming, serta berpengalaman dalam mengembangkan aplikasi SaaS dengan menggunakan teknologi container-based, microservices architecture di AWS, bertanggung jawab untuk mengembangkan dan memelihara platform yang skalabel, modulernya, dan memiliki kebebasan kreatif untuk membentuk fondasi produk yang berarti dan berdampak jangka panjang."
2966,"Menguasai Python data engineering, ETL data pipelines, AWS (Redshift), Postgres SQL, Airflow, dan H2O, dengan pengalaman 4 tahun di bidang data engineering, bertanggung jawab untuk merancang, mengembangkan, dan melaksanakan model data kustom untuk menyelesaikan masalah kesehatan nyata, serta mampu menggunakan ETL tools untuk mengintegrasikan, membangun, dan mengimplementasikan pipeline data produksi dan pasca-produksi yang menghubungkan data dari berbagai sumber ke data warehouse dan ke cloud."
2967,"Berpengalaman dalam menguasai Python development, memiliki pengalaman minimal 4 tahun dalam bidang Data Engineering, dan mampu berinteraksi dengan berbagai database baik relational maupun nonrelational, serta memiliki pengalaman dalam Big Data tools dan Analytics, bertanggung jawab untuk melakukan 80% pekerjaan Data Engineering dan 20% pekerjaan Software Engineering, dengan tugas utama melakukan pekerjaan tangan sebesar 70% dan berkolaborasi dengan tim sebesar 30%."
2968,"Menguasai Python development, Linux administration, Automation tools (Puppet, Chef, Ansible), SQL, Perl, dan Bash serta mampu mengembangkan dan memelihara tools dan aplikasi yang mendukung integrasi dan automasi layanan korporat dengan bertanggung jawab atas pengembangan dan pemeliharaan infrastruktur yang skalabel."
2969,"Menguasai Python programming, Java, C, C++, dan Apache Spark, serta berpengalaman 3 tahun dalam bidang pengembangan perangkat lunak, bertanggung jawab untuk mengembangkan tools dan software untuk mengevaluasi pengalaman pengguna WebEx Meetings menggunakan Python, menganalisis data menggunakan Apache Spark, Hadoop, dan Qlik, serta melakukan analisis postmortem insiden dan menetapkan tindakan yang perlu diambil."
2970,"Menguasai Python, Apache Hadoop, Spark, HDFS, Hive, SQL, Excel, dan Microsoft Office applications, serta berpengalaman dalam Project Management, Data Flow (Kafka, Sqoop), ETL Processes, Data Analytics Tools (R, Scala, Pandas, Tableau), dan Fina, dengan pengalaman kerja NULL di bidang Data Engineer - Digital Wealth, bertanggung jawab untuk mengembangkan dan mengelola sistem data yang efektif dan efisien untuk meningkatkan distribusi retail dan performa BlackRock di seluruh dunia."
2971,"Menguasai Python, C++, C, Tensorflow, PyTorch, Computer Vision, OpenCV, Neural Networks, Lua, Go, Machine Learning, dan IoT, serta berpengalaman dalam pengembangan aplikasi, bertanggung jawab untuk mengembangkan sistem klasifikasi citra satelit untuk memantau aset perusahaan dengan menggunakan Deep Learning."
2972,"Menguasai Python dan C++, mampu mengembangkan tools yang kompleks dengan pengalaman tidak ada, bertanggung jawab untuk merancang dan mengimplementasikan database yang efektif, serta berpengalaman dalam desain front-end dan core komponen, serta berkomunikasi dengan tim lain untuk memastikan kebutuhan pengguna terpenuhi."
2973,"Menguasai Python, Cloud Computing, GPU Services, Deep Learning, AI, SDK development, CLI development, Integration testing, Unit testing, Continuous Integration, Continuous Delivery, dan RESTful web services, serta mampu bekerja dalam tim yang dinamis dan berinovasi, bertanggung jawab untuk mengembangkan dan mendeliverkan layanan GPU baru untuk Cloud Computing di bidang Deep Learning dengan pengalaman yang tidak ada."
2974,"Menguasai Python, Data analysis, R programming, SQL, Statistical modeling, dan Machine learning, serta mampu mengembangkan kemampuan statistik dan analitis, berpengalaman dalam pengembangan model prediktif dan analisis data, bertanggung jawab untuk menganalisis dan memecahkan masalah bisnis dengan menggunakan data dan teknologi, dengan pendidikan terbuka untuk semua jenjang dan jurusan, dan pengalaman kerja tidak ada."
2975,"Menguasai Python, Django atau Flask, REST, Microservices, SQL, Numpy, Scipy, atau Pandas, serta memiliki pengalaman minimal 0 tahun di bidang IT, bertanggung jawab untuk mengembangkan platform data analytics yang efektif dan efisien dengan menggunakan teknologi seperti AWS, Docker atau Kubernetes, serta mampu menerapkan Machine Learning untuk menghasilkan insigh-insigh yang akurat tentang perilaku konsumen dan indikator ekonomi."
2976,"Menguasai Python, Django, dan front-end development menggunakan AngularJS, HTML, dan CSS, serta memiliki kemampuan software testing, troubleshooting, AI & machine learning, CPT codes, ICD-10/ICD-9, SNOMED, dan data analysis, dengan pengalaman tidak ada dalam bidang yang sama, bertanggung jawab untuk mengembangkan software yang lebih baik untuk dokter dan pasien serta meningkatkan kesehatan untuk semua."
